"gene_name","Human Gene ID","HGNCID","Human Symbol"," Species","Mouse GeneID","MGIID","Mouse_Symbol","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From"
"ADAMTS7","11173","223","ADAMTS7","Mouse","108153","1347346","Adamts7","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADAMTS7","11173","223","ADAMTS7","Mouse","239337","2146046","Adamts12","4","3.84","moderate","No","No","eggNOG, OrthoDB, orthoMCL, RoundUp"
"ADAMTS7","11173","223","ADAMTS7","Mouse","108154","1347348","Adamts6","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","208936","2442600","Adamts18","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","224697","2449112","Adamts10","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","271127","2429637","Adamts16","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","240322","2442875","Adamts19","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTS7","11173","223","ADAMTS7","Mouse","66548","1913798","Adamtsl5","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTS7","11173","223","ADAMTS7","Mouse","229595","2389008","Adamtsl4","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTS7","11173","223","ADAMTS7","Mouse","207596","2672033","Thsd4","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTS7","11173","223","ADAMTS7","Mouse","240913","1339949","Adamts4","2","1.8","low","No","No","eggNOG, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","235130","2449569","Adamts15","2","1.8","low","No","No","eggNOG, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","11504","109249","Adamts1","2","1.8","low","No","No","eggNOG, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","101401","1916320","Adamts9","2","1.8","low","No","No","eggNOG, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","30806","1353468","Adamts8","2","1.8","low","No","No","eggNOG, orthoMCL"
"ADAMTS7","11173","223","ADAMTS7","Mouse","223838","2660628","Adamts20","2","1.8","low","No","No","eggNOG, orthoMCL"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","229595","2389008","Adamtsl4","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","207596","2672033","Thsd4","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","108154","1347348","Adamts6","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","240322","2442875","Adamts19","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","66548","1913798","Adamtsl5","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","239337","2146046","Adamts12","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","108153","1347346","Adamts7","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","208936","2442600","Adamts18","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","224697","2449112","Adamts10","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","271127","2429637","Adamts16","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAMTSL4","54507","19706","ADAMTSL4","Mouse","170721","2386139","Papln","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRA2","25960","17849","ADGRA2","Mouse","78560","1925810","Adgra2","14","14.4","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADGRA2","25960","17849","ADGRA2","Mouse","70693","1917943","Adgra3","3","2.91","low","No","No","OrthoDB, OrthoFinder, orthoMCL"
"ADGRL1","22859","20973","ADGRL1","Mouse","330814","1929461","Adgrl1","13","13.28","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADGRL1","22859","20973","ADGRL1","Mouse","99633","2139714","Adgrl2","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ADGRL1","22859","20973","ADGRL1","Mouse","319387","2441950","Adgrl3","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL"
"ADGRL1","22859","20973","ADGRL1","Mouse","241327","2444741","Olfml2a","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","320078","2443310","Olfml2b","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","382045","2685955","Adgrg5","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","13733","106912","Adgre1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","170757","2655562","Adgrl4","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","54672","1859670","Adgrg3","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","52614","1196464","Adgre4","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","243277","3041203","Adgrd1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADGRL1","22859","20973","ADGRL1","Mouse","14766","1340051","Adgrg1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADIPOR1","51094","24040","ADIPOR1","Mouse","72674","1919924","Adipor1","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADIPOR1","51094","24040","ADIPOR1","Mouse","68465","93830","Adipor2","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"ADIPOR1","51094","24040","ADIPOR1","Mouse","231474","2679683","Paqr3","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADORA1","134","262","ADORA1","Mouse","11539","99401","Adora1","15","15.35","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADORA1","134","262","ADORA1","Mouse","11541","99403","Adora2b","2","2.01","low","No","No","OrthoDB, OrthoFinder"
"ADORA1","134","262","ADORA1","Mouse","11540","99402","Adora2a","2","2.01","low","No","No","OrthoDB, OrthoFinder"
"AFAP1","60312","24017","AFAP1","Mouse","70292","1917542","Afap1","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"AFAP1","60312","24017","AFAP1","Mouse","106877","2147199","Afap1l1","2","1.91","low","No","No","eggNOG, OrthoDB"
"AHSA2","130872","20437","AHSA2P","Mouse","268390","1916133","Ahsa2","9","9.39","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome"
"AHSA2","130872","20437","AHSA2P","Mouse","217737","2387603","Ahsa1","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AIP","9049","358","AIP","Mouse","11632","109622","Aip","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"AIP","9049","358","AIP","Mouse","114230","2148800","Aipl1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"AKR1C1","1645","384","AKR1C1","Mouse","83702","1933427","Akr1c6","11","10.69","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","116852","2151104","Akr1c20","9","8.66","moderate","No","No","Compara, eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","77337","1924587","Akr1c21","8","8.21","moderate","No","No","Compara, eggNOG, HGNC, Homologene, OMA, OrthoFinder, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","27384","1351662","Akr1c13","7","6.75","moderate","No","Yes","Compara, eggNOG, Isobase, OrthoFinder, Panther, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","105349","2145420","Akr1c18","7","6.61","moderate","No","No","Compara, eggNOG, OMA, OrthoFinder, orthoMCL, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","432720","2653678","Akr1c19","6","5.8","moderate","No","No","Compara, eggNOG, OrthoFinder, Panther, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","622402","1351661","Akr1c12","6","5.8","moderate","No","No","Compara, eggNOG, OrthoFinder, Panther, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","70861","1918111","Akr1cl","6","5.71","moderate","No","No","Compara, eggNOG, OMA, OrthoFinder, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","105387","2145458","Akr1c14","6","5.6","moderate","No","No","Compara, eggNOG, OrthoFinder, orthoMCL, Phylome, TreeFam"
"AKR1C1","1645","384","AKR1C1","Mouse","67861","1915111","Akr1b10","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AKR1C1","1645","384","AKR1C1","Mouse","11997","101918","Akr1b7","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AKR1C1","1645","384","AKR1C1","Mouse","56043","1914758","Akr1e1","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AKR1C1","1645","384","AKR1C1","Mouse","14187","107673","Akr1b8","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AKR1C1","1645","384","AKR1C1","Mouse","208665","2384785","Akr1d1","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AKR1C1","1645","384","AKR1C1","Mouse","11677","1353494","Akr1b3","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AKR1C1","1645","384","AKR1C1","Mouse","58810","1929955","Akr1a1","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AKTIP","64400","16710","AKTIP","Mouse","14339","3693832","Aktip","14","14.14","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam"
"ALDH1A3","220","409","ALDH1A3","Mouse","56847","1861722","Aldh1a3","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ALDH1A3","220","409","ALDH1A3","Mouse","11669","99600","Aldh2","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ALDH1A3","220","409","ALDH1A3","Mouse","26358","1347050","Aldh1a7","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ALDH1A3","220","409","ALDH1A3","Mouse","11668","1353450","Aldh1a1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ALDH1A3","220","409","ALDH1A3","Mouse","72535","1919785","Aldh1b1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ALDH1A3","220","409","ALDH1A3","Mouse","19378","107928","Aldh1a2","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL"
"ALDH1A3","220","409","ALDH1A3","Mouse","237320","2653900","Aldh8a1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALDH1A3","220","409","ALDH1A3","Mouse","56752","1861622","Aldh9a1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALDH1A3","220","409","ALDH1A3","Mouse","107747","1340024","Aldh1l1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALDH1A3","220","409","ALDH1A3","Mouse","216188","2444680","Aldh1l2","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALDH2","217","404","ALDH2","Mouse","11669","99600","Aldh2","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ALDH2","217","404","ALDH2","Mouse","11668","1353450","Aldh1a1","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"ALDH2","217","404","ALDH2","Mouse","26358","1347050","Aldh1a7","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ALDH2","217","404","ALDH2","Mouse","56847","1861722","Aldh1a3","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ALDH2","217","404","ALDH2","Mouse","72535","1919785","Aldh1b1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ALDH2","217","404","ALDH2","Mouse","19378","107928","Aldh1a2","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL"
"ALDH2","217","404","ALDH2","Mouse","237320","2653900","Aldh8a1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALDH2","217","404","ALDH2","Mouse","56752","1861622","Aldh9a1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALDH2","217","404","ALDH2","Mouse","107747","1340024","Aldh1l1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALDH2","217","404","ALDH2","Mouse","216188","2444680","Aldh1l2","2","1.91","low","No","No","eggNOG, OrthoDB"
"ALOX5AP","241","436","ALOX5AP","Mouse","11690","107505","Alox5ap","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ALPK2","115701","20565","ALPK2","Mouse","225638","2449492","Alpk2","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ALPK2","115701","20565","ALPK2","Mouse","116904","2151224","Alpk3","2","1.9","low","No","No","eggNOG, OrthoFinder"
"AMIGO2","347902","24073","AMIGO2","Mouse","105827","2145995","Amigo2","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ANGPTL2","23452","490","ANGPTL2","Mouse","26360","1347002","Angptl2","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ANGPTL2","23452","490","ANGPTL2","Mouse","30924","1353627","Angptl3","2","1.91","low","No","No","eggNOG, OrthoDB"
"ANGPTL2","23452","490","ANGPTL2","Mouse","234199","102795","Fgl1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ANGPTL2","23452","490","ANGPTL2","Mouse","11601","1202890","Angpt2","2","1.91","low","No","No","eggNOG, OrthoDB"
